1,C,Sarnia (OHL),OHL,NA,586
2,D,Guelph (OHL),OHL,NA,688
3,D,Peterborough (OHL),OHL,NA,534
4,D,Niagara (OHL),OHL,NA,539
5,D,Kelowna (WHL),WHL,NA,644
6,LW,CSKA Moscow 2 (Russia-3),Russia-3,Europe,53
7,C,Boston University (H-East),H-East,NA,502
8,RW,Kitchener (OHL),OHL,NA,544
9,C,Windsor (OHL),OHL,NA,639
10,C,Brampton (OHL),OHL,NA,328
11,C,Everett (WHL),WHL,NA,0
12,D,Kelowna (WHL),WHL,NA,473
13,D,Regina (WHL),WHL,NA,24
14,C,Lethbridge (WHL),WHL,NA,127
15,D,Vastra Frolunda Jr. ( ), ,Europe,556
16,C,Camrose (AJHL),AJHL,NA,295
17,D,Minnetonka (High-MN),High-MN,NA,407
19,D,Lethbridge (WHL),WHL,NA,465
20,D,Oshawa (OHL),OHL,NA,484
21,C,Vastra Frolunda Jr. ( ), ,Europe,0
22,C,Regina (WHL),WHL,NA,507
23,D,Ottawa (OHL),OHL,NA,1
24,LW,HV 71 Jonkoping ( ), ,Europe,120
25,C,Windsor (OHL),OHL,NA,15
26,C,Medicine Hat (WHL),WHL,NA,419
27,D,Indiana (USHL),USHL,NA,526
28,RW,Cherepovets (Russia),Russia,Europe,111
29,C,St. Catharines (GOJHL),GOJHL,NA,0
32,D,Chelyabinsk ( ), ,Europe,190
33,C,London (OHL),OHL,NA,15
35,C,Chicoutimi (QMJHL),QMJHL,NA,3
36,C,Stouffville (OPJHL),OPJHL,NA,0
37,D,Wisconsin (WCHA),WCHA,NA,129
38,D,Bern (Swiss),Swiss,Europe,406
39,C,Sudbury (OHL),OHL,NA,41
40,D,Roseau (High-MN),High-MN,NA,39
41,D,Saint John (QMJHL),QMJHL,NA,8
42,D,Omaha Jr. A (USHL),USHL,NA,268
43,D,Westside (BCHL),BCHL,NA,344
44,C,St. John's (QMJHL),QMJHL,NA,90
45,RW,Penticton C (BCHL),BCHL,NA,128
46,D,Brandon (WHL),WHL,NA,47
47,C,Val d'Or (QMJHL),QMJHL,NA,1
48,C,Spokane (WHL),WHL,NA,0
49,RW,Sudbury (OHL),OHL,NA,2
50,D,Mississauga St. Michael's (OHL),OHL,NA,32
51,C,Shattuck-St. Mary's (High-MN),High-MN,NA,515
52,D,St. Michael's (OPJHL),OPJHL,NA,0
53,D,Moose Jaw (WHL),WHL,NA,444
54,C,Rimouski (QMJHL),QMJHL,NA,52
55,D,Val d'Or (QMJHL),QMJHL,NA,373
56,RW,USA U-18 (USNTDP),USNTDP,NA,0
57,D,Tri-City (WHL),WHL,NA,0
58,RW,CSKA Moscow 2 (Russia-3),Russia-3,Europe,0
60,RW,Lincoln (USHL),USHL,NA,301
62,C,Kent School (High-CT),High-CT,NA,0
63,C,U.S. National U-18 (USNTDP),USNTDP,NA,0
64,RW,Lewiston (QMJHL),QMJHL,NA,0
65,C,Tappara Tampere,#N/A,Europe,218
66,C,Shattuck-St. Mary's (High-MN),High-MN,NA,0
67,D,Rouyn-Noranda (QMJHL),QMJHL,NA,45
68,D,Belleville (OHL),OHL,NA,1
69,D,Calgary (WHL),WHL,NA,343
70,RW,Sault Ste. Marie (OHL),OHL,NA,0
71,LW,Kingston (OHL),OHL,NA,0
72,D,Saskatoon (WHL),WHL,NA,0
73,RW,Ak Bars Kazan (Russia),Russia,Europe,0
74,D,Sault Ste. Marie (OHL),OHL,NA,42
75,C,Lokomotiv Yaroslavl 2 (Russia-3),Russia-3,Europe,34
76,D,Cape Breton (QMJHL),QMJHL,NA,0
78,C,Vancouver (WCHL),WCHL,NA,304
79,C,Swift Current (WHL),WHL,NA,474
80,D,Saginaw (OHL),OHL,NA,0
81,D,Eastview High (High-MN),High-MN,NA,0
82,C,Windsor (OHL),OHL,NA,431
85,LW,Kelowna (WHL),WHL,NA,171
86,LW,Sioux City (USHL),USHL,NA,0
87,RW,Calgary (WHL),WHL,NA,0
88,LW,Swift Current (WHL),WHL,NA,0
89,C,Russell Stover (MWEHL),MWEHL,NA,0
90,D,Trinec,#N/A,Europe,30
91,D,Chicago (USHL),USHL,NA,0
92,D,Quebec (QMJHL),QMJHL,NA,0
94,RW,U.S. National U-18 (USNTDP),USNTDP,NA,0
95,D,U.S. National U-18 (USNTDP),USNTDP,NA,39
96,D,Cedar Rapids (USHL),USHL,NA,67
97,C,Sarnia (OHL),OHL,NA,1
98,Centr,Quebec (QMJHL),QMJHL,NA,0
99,C,Kelowna (WHL),WHL,NA,0
100,LW,Plymouth (OHL),OHL,NA,0
101,RW,Cloquet (High-MN),High-MN,NA,0
102,C,HV 71 Jonkoping Jr. (Sweden-Jr.),Sweden-Jr.,Europe,49
103,D,Bofors (Sweden-2),Sweden-2,Europe,1
104,D,PEI (QMJHL),QMJHL,NA,0
105,D,Plymouth (OHL),OHL,NA,79
107,D,Gatineau (QMJHL),QMJHL,NA,0
108,LW,Waterloo (USHL),USHL,NA,0
109,RW,HV 71 Jonkoping Jr. (Sweden-Jr.),Sweden-Jr.,Europe,1
110,C,Quebec (QMJHL),QMJHL,NA,0
111,RW,Swift Current (WHL),WHL,NA,393
112,D,Regina (WHL),WHL,NA,0
113,D,U.S. National U-18 (USNTDP),USNTDP,NA,0
114,D,Saginaw (OHL),OHL,NA,418
115,D,U.S. National U-18 (USNTDP),USNTDP,NA,0
117,C,Vancouver (WCHL),WCHL,NA,146
118,F,Brainerd (High-MN),High-MN,NA,0
119,C,Langley (BCHL),BCHL,NA,86
120,C,Kingston (OHL),OHL,NA,0
121,RW,Malmo Jr. ( ), ,Europe,337
123,C,Lokomotiv Yaroslavl 2 (Russia-3),Russia-3,Europe,155
124,LW,Vastra Frolunda Jr. ( ), ,Europe,0
125,D,Bjorkloven (Sweden-2),Sweden-2,Europe,0
127,LW,Brandon (WHL),WHL,NA,347
128,D,Ohio (USHL),USHL,NA,94
129,C,Chicoutimi (QMJHL),QMJHL,NA,0
130,LW,Koln (Germany),Germany,Europe,0
131,C,Seattle (WHL),WHL,NA,0
132,D,Saskatoon (WHL),WHL,NA,0
133,LW,Rimouski (QMJHL),QMJHL,NA,2
134,LW,Chicoutimi (QMJHL),QMJHL,NA,0
135,RW,Plzen ( ), ,Europe,12
136,LW,Langley (BCHL),BCHL,NA,0
137,D,Vancouver (WCHL),WCHL,NA,7
138,RW,Cherepovets 2 (Russia-3),Russia-3,Europe,0
139,D,Smiths Falls (CJHL),CJHL,NA,217
140,C,Northern Michigan (CCHA),CCHA,NA,74
141,C,PEI (QMJHL),QMJHL,NA,0
142,LW,Oshawa (OHL),OHL,NA,0
143,D,Vasteras Jr.,#N/A,Europe,0
144,C,Moose Jaw (WHL),WHL,NA,0
145,LW,Lukko Rauma Jr. (Finland-Jr.),Finland-Jr.,Europe,0
146,D,Ottawa (OHL),OHL,NA,0
147,RW,Brampton (OHL),OHL,NA,0
148,LW,Sarnia (OHL),OHL,NA,520
149,D,Vastra Frolunda (Sweden),Sweden,Europe,151
151,C,Northwood School (High-NY),High-NY,NA,0
152,D,Moncton (QMJHL),QMJHL,NA,193
153,C,Kitchener (OHL),OHL,NA,0
155,C,Guelph (OHL),OHL,NA,0
156,D,Spokane (WHL),WHL,NA,448
157,RW,Avon Old Farms (High-CT),High-CT,NA,382
159,C,Penticton (BCHL),BCHL,NA,0
160,D,Ohio (USHL),USHL,NA,54
161,C,Linkoping Jr. ( ), ,Europe,0
162,D,Brynas Gavle (Sweden),Sweden,Europe,0
163,C,Kalpa Kuopio Jr. (Finland-Jr.),Finland-Jr.,Europe,52
164,D,Saginaw (OHL),OHL,NA,0
166,D,RPI ( ), ,NA,0
167,D,Victoriaville (QMJHL),QMJHL,NA,0
168,C,Moose Jaw (WHL),WHL,NA,0
169,RW,Boston College ( ), ,NA,237
170,D,Sarpsborg (Norway),Norway,Europe,39
171,D,Erie (OHL),OHL,NA,0
172,C,U.S. National U-18 (USNTDP),USNTDP,NA,0
173,C,Smiths Falls (CJHL),CJHL,NA,0
174,LW,Jr. Monarchs (EJHL),EJHL,NA,0
175,C,Sarnia (OHL),OHL,NA,8
176,C,Swift Current (WHL),WHL,NA,0
177,C,Miami University (CCHA),CCHA,NA,373
178,C,Mississauga St. Michael's (OHL),OHL,NA,275
179,D,Oakville (OPJHL),OPJHL,NA,0
181,LW,Belleville (OHL),OHL,NA,0
182,RW,Ilves Tampere Jr. (Finland-Jr.),Finland-Jr.,Europe,0
183,LW,St. Cloud State (WCHA),WCHA,NA,0
184,D,Ferris State (CCHA),CCHA,NA,130
186,D,Victoriaville (QMJHL),QMJHL,NA,504
187,C,Waywayseecappo (MJHL),MJHL,NA,21
188,D,Camrose (AJHL),AJHL,NA,12
189,D,Mississauga St. Michael's (OHL),OHL,NA,0
190,D,Lincoln (USHL),USHL,NA,235
192,D,Edina (High-MN),High-MN,NA,0
193,D,Medicine Hat (WHL),WHL,NA,0
194,RW,Kent School (High-CT),High-CT,NA,0
195,LW,Baie-Comeau (QMJHL),QMJHL,NA,0
197,C,Choate-Rosemary (High-CT),High-CT,NA,0
198,D,Djurgarden Jr. ( ), ,Europe,0
199,LW,Brynas Gavle (Sweden),Sweden,Europe,0
200,C,Wausau West (High-WI),High-WI,NA,0
201,C,Blues Espoo Jr. (Finland-Jr.),Finland-Jr.,Europe,0
202,D,Windsor (OHL),OHL,NA,0
203,D,Shattuck-St. Mary's (High-MN),High-MN,NA,0
204,LW,Barrie (OHL),OHL,NA,7
205,LW,Rouyn-Noranda (QMJHL),QMJHL,NA,0
206,LW,Wisconsin (WCHA),WCHA,NA,0
208,D,U.S. National U-18 (USNTDP),USNTDP,NA,0
209,D,Smiths Falls (CJHL),CJHL,NA,0
210,D,St. Michael's (OPJHL),OPJHL,NA,0
211,C,Vita Hasten (Sweden),Sweden,Europe,0
